id,value
id_0,26
id_1,64
id_2,19
id_3,29
id_4,9
id_5,34
id_6,41
id_7,18
id_8,52
id_9,33
id_10,38
id_11,58
id_12,35
id_13,42
id_14,27
id_15,13
id_16,50
id_17,23
id_18,17
id_19,19
id_20,14
id_21,30
id_22,39
id_23,10
id_24,61
id_25,47
id_26,28
id_27,8
id_28,29
id_29,37
id_30,18
id_31,11
id_32,16
id_33,6
id_34,16
id_35,41
id_36,20
id_37,28
id_38,10
id_39,58
id_40,47
id_41,21
id_42,53
id_43,18
id_44,44
id_45,51
id_46,57
id_47,42
id_48,56
id_49,39
id_50,29
id_51,24
id_52,40
id_53,24
id_54,38
id_55,39
id_56,24
id_57,22
id_58,37
id_59,32
id_60,15
id_61,23
id_62,33
id_63,54
id_64,51
id_65,25
id_66,38
id_67,52
id_68,28
id_69,37
id_70,65
id_71,56
id_72,43
id_73,13
id_74,13
id_75,36
id_76,62
id_77,2
id_78,43
id_79,42
id_80,8
id_81,24
id_82,6
id_83,32
id_84,9
id_85,5
id_86,18
id_87,13
id_88,20
id_89,25
id_90,35
id_91,14
id_92,14
id_93,9
id_94,39
id_95,15
id_96,17
id_97,9
id_98,12
id_99,5
id_100,10
id_101,18
id_102,12
id_103,8
id_104,12
id_105,37
id_106,26
id_107,7
id_108,17
id_109,15
id_110,12
id_111,17
id_112,16
id_113,27
id_114,20
id_115,17
id_116,7
id_117,45
id_118,27
id_119,1
id_120,1
id_121,11
id_122,14
id_123,14
id_124,8
id_125,26
id_126,22
id_127,11
id_128,21
id_129,17
id_130,4
id_131,33
id_132,15
id_133,23
id_134,27
id_135,23
id_136,10
id_137,21
id_138,79
id_139,61
id_140,26
id_141,19
id_142,24
id_143,7
id_144,12
id_145,10
id_146,18
id_147,8
id_148,13
id_149,14
id_150,46
id_151,22
id_152,22
id_153,14
id_154,14
id_155,25
id_156,26
id_157,38
id_158,4
id_159,22
id_160,45
id_161,19
id_162,66
id_163,17
id_164,34
id_165,25
id_166,23
id_167,2
id_168,68
id_169,17
id_170,17
id_171,71
id_172,23
id_173,2
id_174,24
id_175,2
id_176,6
id_177,18
id_178,21
id_179,25
id_180,43
id_181,32
id_182,28
id_183,12
id_184,7
id_185,42
id_186,35
id_187,35
id_188,16
id_189,23
id_190,13
id_191,16
id_192,30
id_193,76
id_194,30
id_195,12
id_196,64
id_197,16
id_198,19
id_199,20
id_200,124
id_201,24
id_202,58
id_203,6
id_204,61
id_205,35
id_206,15
id_207,14
id_208,63
id_209,16
id_210,35
id_211,70
id_212,19
id_213,115
id_214,41
id_215,79
id_216,93
id_217,70
id_218,28
id_219,19
id_220,29
id_221,58
id_222,27
id_223,38
id_224,42
id_225,9
id_226,2
id_227,83
id_228,30
id_229,1
id_230,40
id_231,15
id_232,21
id_233,8
id_234,12
id_235,23
id_236,13
id_237,3
id_238,20
id_239,11
