id,value
id_0,26
id_1,63
id_2,19
id_3,29
id_4,9
id_5,33
id_6,41
id_7,18
id_8,51
id_9,33
id_10,39
id_11,58
id_12,35
id_13,41
id_14,27
id_15,12
id_16,51
id_17,23
id_18,17
id_19,18
id_20,15
id_21,31
id_22,38
id_23,10
id_24,62
id_25,46
id_26,28
id_27,7
id_28,29
id_29,37
id_30,18
id_31,11
id_32,17
id_33,6
id_34,16
id_35,43
id_36,21
id_37,28
id_38,11
id_39,59
id_40,47
id_41,21
id_42,52
id_43,18
id_44,44
id_45,50
id_46,57
id_47,42
id_48,56
id_49,39
id_50,29
id_51,25
id_52,40
id_53,24
id_54,38
id_55,40
id_56,24
id_57,21
id_58,37
id_59,32
id_60,14
id_61,23
id_62,33
id_63,54
id_64,51
id_65,25
id_66,38
id_67,53
id_68,28
id_69,38
id_70,65
id_71,56
id_72,43
id_73,13
id_74,13
id_75,36
id_76,62
id_77,2
id_78,43
id_79,42
id_80,8
id_81,24
id_82,5
id_83,32
id_84,8
id_85,5
id_86,17
id_87,12
id_88,19
id_89,26
id_90,35
id_91,12
id_92,13
id_93,9
id_94,39
id_95,15
id_96,17
id_97,10
id_98,11
id_99,5
id_100,10
id_101,19
id_102,12
id_103,9
id_104,13
id_105,37
id_106,26
id_107,7
id_108,17
id_109,15
id_110,11
id_111,16
id_112,16
id_113,27
id_114,20
id_115,17
id_116,6
id_117,46
id_118,27
id_119,0
id_120,1
id_121,10
id_122,14
id_123,13
id_124,8
id_125,25
id_126,22
id_127,11
id_128,20
id_129,17
id_130,3
id_131,33
id_132,15
id_133,22
id_134,26
id_135,23
id_136,10
id_137,21
id_138,79
id_139,62
id_140,26
id_141,19
id_142,24
id_143,8
id_144,12
id_145,10
id_146,18
id_147,8
id_148,13
id_149,15
id_150,47
id_151,22
id_152,22
id_153,13
id_154,15
id_155,24
id_156,26
id_157,37
id_158,5
id_159,23
id_160,44
id_161,19
id_162,64
id_163,17
id_164,34
id_165,24
id_166,24
id_167,2
id_168,68
id_169,15
id_170,16
id_171,72
id_172,21
id_173,1
id_174,23
id_175,2
id_176,7
id_177,18
id_178,20
id_179,25
id_180,43
id_181,32
id_182,28
id_183,12
id_184,6
id_185,42
id_186,36
id_187,35
id_188,16
id_189,23
id_190,13
id_191,16
id_192,31
id_193,76
id_194,30
id_195,12
id_196,65
id_197,16
id_198,19
id_199,20
id_200,124
id_201,25
id_202,58
id_203,6
id_204,61
id_205,35
id_206,15
id_207,13
id_208,62
id_209,15
id_210,35
id_211,70
id_212,19
id_213,114
id_214,42
id_215,79
id_216,93
id_217,71
id_218,29
id_219,18
id_220,31
id_221,59
id_222,28
id_223,38
id_224,42
id_225,9
id_226,3
id_227,83
id_228,30
id_229,1
id_230,40
id_231,16
id_232,22
id_233,7
id_234,12
id_235,24
id_236,13
id_237,3
id_238,21
id_239,10
