id,value
id_0,26
id_1,62
id_2,20
id_3,29
id_4,10
id_5,36
id_6,39
id_7,17
id_8,48
id_9,33
id_10,39
id_11,58
id_12,37
id_13,41
id_14,27
id_15,13
id_16,53
id_17,22
id_18,19
id_19,20
id_20,15
id_21,28
id_22,37
id_23,9
id_24,58
id_25,45
id_26,28
id_27,9
id_28,29
id_29,36
id_30,19
id_31,12
id_32,17
id_33,7
id_34,18
id_35,39
id_36,20
id_37,28
id_38,7
id_39,60
id_40,47
id_41,17
id_42,50
id_43,18
id_44,44
id_45,51
id_46,61
id_47,40
id_48,51
id_49,42
id_50,30
id_51,25
id_52,41
id_53,25
id_54,38
id_55,40
id_56,25
id_57,22
id_58,38
id_59,31
id_60,16
id_61,23
id_62,32
id_63,55
id_64,49
id_65,27
id_66,41
id_67,54
id_68,28
id_69,38
id_70,65
id_71,53
id_72,44
id_73,12
id_74,12
id_75,36
id_76,61
id_77,3
id_78,44
id_79,40
id_80,8
id_81,22
id_82,8
id_83,34
id_84,11
id_85,6
id_86,16
id_87,12
id_88,13
id_89,28
id_90,31
id_91,12
id_92,14
id_93,8
id_94,37
id_95,16
id_96,16
id_97,9
id_98,11
id_99,4
id_100,13
id_101,18
id_102,11
id_103,6
id_104,14
id_105,37
id_106,28
id_107,8
id_108,17
id_109,16
id_110,14
id_111,17
id_112,13
id_113,28
id_114,22
id_115,15
id_116,9
id_117,45
id_118,30
id_119,2
id_120,2
id_121,12
id_122,16
id_123,15
id_124,7
id_125,26
id_126,21
id_127,14
id_128,20
id_129,18
id_130,4
id_131,36
id_132,14
id_133,26
id_134,24
id_135,21
id_136,10
id_137,20
id_138,78
id_139,64
id_140,27
id_141,17
id_142,25
id_143,8
id_144,11
id_145,11
id_146,21
id_147,8
id_148,14
id_149,17
id_150,51
id_151,22
id_152,25
id_153,16
id_154,15
id_155,28
id_156,22
id_157,34
id_158,3
id_159,20
id_160,43
id_161,19
id_162,56
id_163,19
id_164,37
id_165,25
id_166,22
id_167,1
id_168,66
id_169,18
id_170,18
id_171,68
id_172,21
id_173,2
id_174,24
id_175,2
id_176,6
id_177,19
id_178,20
id_179,21
id_180,43
id_181,27
id_182,29
id_183,12
id_184,9
id_185,41
id_186,37
id_187,33
id_188,16
id_189,22
id_190,15
id_191,15
id_192,33
id_193,78
id_194,29
id_195,12
id_196,62
id_197,15
id_198,20
id_199,24
id_200,126
id_201,26
id_202,58
id_203,5
id_204,63
id_205,36
id_206,17
id_207,14
id_208,64
id_209,14
id_210,28
id_211,72
id_212,21
id_213,116
id_214,40
id_215,83
id_216,93
id_217,71
id_218,29
id_219,19
id_220,32
id_221,55
id_222,29
id_223,40
id_224,44
id_225,8
id_226,4
id_227,70
id_228,28
id_229,2
id_230,40
id_231,15
id_232,22
id_233,8
id_234,12
id_235,22
id_236,13
id_237,0
id_238,21
id_239,1
