id,value
id_0,26
id_1,61
id_2,19
id_3,27
id_4,11
id_5,36
id_6,38
id_7,18
id_8,50
id_9,32
id_10,39
id_11,57
id_12,39
id_13,42
id_14,27
id_15,16
id_16,52
id_17,23
id_18,19
id_19,20
id_20,13
id_21,29
id_22,37
id_23,9
id_24,59
id_25,44
id_26,27
id_27,10
id_28,26
id_29,35
id_30,18
id_31,12
id_32,17
id_33,5
id_34,18
id_35,39
id_36,19
id_37,29
id_38,6
id_39,60
id_40,48
id_41,16
id_42,51
id_43,17
id_44,41
id_45,50
id_46,61
id_47,40
id_48,51
id_49,43
id_50,30
id_51,24
id_52,43
id_53,25
id_54,38
id_55,38
id_56,24
id_57,23
id_58,35
id_59,31
id_60,16
id_61,23
id_62,33
id_63,55
id_64,48
id_65,27
id_66,40
id_67,55
id_68,27
id_69,39
id_70,65
id_71,52
id_72,45
id_73,12
id_74,11
id_75,34
id_76,60
id_77,4
id_78,43
id_79,39
id_80,9
id_81,23
id_82,9
id_83,33
id_84,12
id_85,5
id_86,17
id_87,12
id_88,14
id_89,28
id_90,30
id_91,12
id_92,15
id_93,8
id_94,36
id_95,17
id_96,15
id_97,9
id_98,10
id_99,4
id_100,13
id_101,18
id_102,11
id_103,6
id_104,14
id_105,36
id_106,27
id_107,8
id_108,18
id_109,15
id_110,12
id_111,17
id_112,13
id_113,29
id_114,22
id_115,16
id_116,10
id_117,45
id_118,30
id_119,1
id_120,3
id_121,17
id_122,16
id_123,16
id_124,7
id_125,27
id_126,22
id_127,14
id_128,21
id_129,18
id_130,5
id_131,35
id_132,15
id_133,25
id_134,23
id_135,21
id_136,9
id_137,21
id_138,76
id_139,64
id_140,26
id_141,16
id_142,24
id_143,9
id_144,11
id_145,11
id_146,22
id_147,8
id_148,15
id_149,16
id_150,51
id_151,22
id_152,24
id_153,15
id_154,14
id_155,28
id_156,23
id_157,35
id_158,2
id_159,20
id_160,43
id_161,19
id_162,56
id_163,19
id_164,36
id_165,23
id_166,20
id_167,0
id_168,67
id_169,18
id_170,18
id_171,69
id_172,21
id_173,2
id_174,25
id_175,2
id_176,5
id_177,18
id_178,20
id_179,22
id_180,42
id_181,26
id_182,30
id_183,13
id_184,9
id_185,41
id_186,36
id_187,31
id_188,17
id_189,22
id_190,14
id_191,15
id_192,33
id_193,75
id_194,30
id_195,10
id_196,63
id_197,14
id_198,21
id_199,24
id_200,124
id_201,27
id_202,56
id_203,5
id_204,65
id_205,35
id_206,16
id_207,14
id_208,63
id_209,16
id_210,25
id_211,73
id_212,20
id_213,115
id_214,38
id_215,84
id_216,90
id_217,73
id_218,28
id_219,17
id_220,34
id_221,57
id_222,29
id_223,41
id_224,43
id_225,7
id_226,3
id_227,69
id_228,29
id_229,1
id_230,45
id_231,15
id_232,21
id_233,7
id_234,12
id_235,23
id_236,13
id_237,2
id_238,21
id_239,1
